Epoch:1  Loss: 11.3614849912458  Score: 0.021961671390633652
Epoch:2  Loss: 6.935971717072857  Score: 0.2611973244067719
Epoch:3  Loss: 4.247228677223126  Score: 0.18054682145547335
Epoch:4  Loss: 3.1544821583727995  Score: 0.2694862060639773
Epoch:5  Loss: 2.7331978551215594  Score: 0.3371161316958132
Epoch:6  Loss: 2.3700202080027926  Score: 0.17982755358657065
Epoch:7  Loss: 2.1830746372375223  Score: 0.3041702767426774
Epoch:8  Loss: 2.098661000099447  Score: 0.31381535503935376
Epoch:9  Loss: 1.9302054318702884  Score: 0.19719715408015992
Epoch:10  Loss: 1.7827824769583014  Score: 0.3624902648020307
Epoch:11  Loss: 1.8226609254959556  Score: 0.35068668288713073
Epoch:12  Loss: 1.8223904631990526  Score: 0.3565774113470837
Epoch:13  Loss: 1.6802997633400891  Score: 0.3129563804077871
Epoch:14  Loss: 1.6098929781052802  Score: 0.21304070037534328
Epoch:15  Loss: 1.603086317670014  Score: 0.3530381148170584
Epoch:16  Loss: 1.5685837234515283  Score: 0.3770701187524001
Epoch:17  Loss: 1.4546871975395415  Score: 0.2942815778421137
Epoch:18  Loss: 1.4086159349108736  Score: 0.2087454179751499
Epoch:19  Loss: 1.401678998991847  Score: 0.37295921277054067
Epoch:20  Loss: 1.3190477582895093  Score: 0.33522590946363245
Epoch:21  Loss: 1.3624806408170196  Score: 0.3842558643487785
Epoch:22  Loss: 1.3918966328849396  Score: 0.37765231523753107
Epoch:23  Loss: 1.241641137264669  Score: 0.43429722345607036
Epoch:24  Loss: 1.2850977786878746  Score: 0.3333687687399198
Epoch:25  Loss: 1.2308865628805425  Score: 0.42377778926617893
Epoch:26  Loss: 1.188879756314887  Score: 0.3515893092741676
Epoch:27  Loss: 1.1384161201698912  Score: 0.3806457109783066
Epoch:28  Loss: 1.2462027021663056  Score: 0.3093247999562213
Epoch:29  Loss: 1.2084995957050058  Score: 0.41490567016612323
Epoch:30  Loss: 1.0553590557889805  Score: 0.28262657983412315

Best score: 0.43429722345607036, Best accuracy: 0.9291022419929504m
